HOUR,E_WIND
1,0.290102115
2,0.317560502
3,0.278323211
4,0.159997313
5,0.046693807
6,0.045174909
7,0.171195108
8,0.107894815
9,0.415828228
10,0.380147581
11,0.26236809
12,0.164711092
13,0.324370925
14,0.477039631
15,0.32727784
16,0.092744532
17,0.33535496
18,0.31857104
19,0.445693474
20,0.287895939
21,0.186330324
22,0.262788398
23,0.113424173
24,0.096035223
25,0.429537764
26,0.270368761
27,0.101098151
28,0.447183164
29,0.082421515
30,0.490535739
31,0.062328527
32,0.045741297
33,0.054419293
34,0.069636698
35,0.22011691
36,0.085752729
37,0.243476192
38,0.011099178
39,0.148037112
40,0.374929339
41,0.368245546
42,0.159370775
43,0.024437701
44,0.268717273
45,0.379449041
46,0.397359751
47,0.207879606
48,0.423402354
49,0.09733495
50,0.079120198
51,0.475182063
52,0.34435437
53,0.007430289
54,0.45983838
55,0.303157154
56,0.052276513
57,0.100732948
58,0.4950144
59,0.477710414
60,0.1555365
61,0.036508341
62,0.015320595
63,0.402423586
64,0.312002809
65,0.201157139
66,0.318690083
67,0.190940641
68,0.404194566
69,0.468562417
70,0.404360742
71,0.411234134
72,0.119876329
73,0.332736994
74,0.073641987
75,0.015065417
76,0.344626619
77,0.119846662
78,0.349345188
79,0.361419196
80,0.002832632
81,0.234929619
82,0.29324199
83,0.283028914
84,0.363580625
85,0.206562785
86,0.340478124
87,0.167881691
88,0.307446295
89,0.262273346
90,0.239565559
91,0.3845982
92,0.242975368
93,0.222085194
94,0.227816027
95,0.214929315
96,0.367069364
97,0.191145931
98,0.20627508
99,0.329668536
100,0.194510309
101,0.453082535
102,0.037866819
103,0.186581508
104,0.478353434
105,0.104929773
106,0.206081653
107,0.472867498
108,0.153769356
109,0.03849465
110,0.371385712
111,0.475735169
112,0.277701564
113,0.04757651
114,0.397773052
115,0.233143948
116,0.181701583
117,0.109465251
118,0.498014457
119,0.026363013
120,0.3189509
121,0.285967172
122,0.018632671
123,0.492884293
124,0.332553352
125,0.386124314
126,0.182694377
127,0.146651141
128,0.382673121
129,0.384202249
130,0.209002926
131,0.293121595
132,0.077382771
133,0.14756941
134,0.293781127
